names,years,ratings
Nayakan,(1987),8.5
Pariyerum Perumal,(2018),8.5
Anbe Sivam,(2003),8.5
Pather Panchali,(1955),8.5
Golmaal,(1979),8.5
C/o Kancharapalem,(2018),8.5
Apur Sansar,(1959),8.5
Kireedam,(1989),8.4
Manichitrathazhu,(1993),8.4
Natsamrat,(2016),8.4
96,(2018),8.4
Thevar Magan,(1992),8.4
Black Friday,(2004),8.4
Kumbalangi Nights,(2019),8.4
Drishyam 2,(2021),8.4
Visaaranai,(2015),8.4
3 Idiots,(2009),8.3
Taare Zameen Par,(2007),8.3
Jersey,(2019),8.3
Soorarai Pottru,(2020),8.3
Thalapathi,(1991),8.3
Dangal,(2016),8.3
Ratsasan,(2018),8.3
Asuran,(2019),8.3
Kaithi,(2019),8.3
Devasuram,(1993),8.3
Aparajito,(1956),8.3
Jaane Bhi Do Yaaro,(1983),8.3
Peranbu,(2018),8.3
Pyaasa,(1957),8.3
Vada Chennai,(2018),8.3
Guide,(1965),8.3
Thani Oruvan,(2015),8.3
Kannathil Muthamittal,(2002),8.2
Chupke Chupke,(1975),8.2
Iruvar,(1997),8.2
Spadikam,(1995),8.2
Agent Sai Srinivasa Athreya,(2019),8.2
Super Deluxe,(2019),8.2
Drishyam,(2013),8.2
Mahanati,(2018),8.2
Aruvi,(2016),8.2
Vikram Vedha,(2017),8.2
Tumbbad,(2018),8.2
Khosla Ka Ghosla!,(2006),8.2
Pudhu Pettai,(2006),8.2
Premam,(2015),8.2
Anniyan,(2005),8.2
Anand,(1971),8.2
Kaakkaa Muttai,(2014),8.2
Mudhalvan,(1999),8.2
Bangalore Days,(2014),8.2
Dhuruvangal Pathinaaru,(2016),8.2
Satya,(1998),8.2
Andhadhun,(2018),8.2
Papanasam,(2015),8.2
Soodhu Kavvum,(2013),8.2
Shahid,(2012),8.2
Jigarthanda,(2014),8.1
Pithamagan,(2003),8.1
Gangs of Wasseypur,(2012),8.1
Paan Singh Tomar,(2012),8.1
Sairat,(2016),8.1
Bhaag Milkha Bhaag,(2013),8.1
Hera Pheri,(2000),8.1
Talvar,(2015),8.1
"Swades: We, the People",(2004),8.1
Sholay,(1975),8.1
Ustad Hotel,(2012),8.1
Chak De! India,(2007),8.1
Black,(2005),8.1
Jo Jeeta Wohi Sikandar,(1992),8.1
Mughal-E-Azam,(1960),8.1
Drishyam,(2015),8.1
Zindagi Na Milegi Dobara,(2011),8.1
Nil Battey Sannata,(2015),8.1
Maheshinte Prathikaaram,(2016),8.1
Article 15,(2019),8.1
Udaan,(2010),8.1
Theeran adhigaaram ondru,(2017),8.1
Charulata,(1964),8.1
A Wednesday,(2008),8.1
Masaan,(2015),8.1
Queen,(2013),8.1
Alai Payuthey,(2000),8.1
Sarfarosh,(1999),8.1
Munna Bhai M.B.B.S.,(2003),8.1
Baasha,(1995),8.1
Roja,(1992),8.1
Dil Chahta Hai,(2001),8.1
OMG: Oh My God!,(2012),8.1
Chhichhore,(2019),8.1
Rang De Basanti,(2006),8.1
Virumandi,(2004),8.1
Lagaan: Once Upon a Time in India,(2001),8.1
Kahaani,(2012),8.1
Andaz Apna Apna,(1994),8.1
Uri: The Surgical Strike,(2018),8.1
PK,(2014),8.1
Lucia,(2013),8.1
