Match Title,Series,Place,Date,Time
2ND ODI,Sri Lanka v India,Colombo,Tuesday 20 July,15:00 IST
3RD ODI,Sri Lanka v India,Colombo,Friday 23 July,15:00 IST
1ST T20I,Sri Lanka v India,Colombo,Sunday 25 July,20:00 IST
2ND T20I,Sri Lanka v India,Colombo,Tuesday 27 July,20:00 IST
3RD T20I,Sri Lanka v India,Colombo,Thursday 29 July,20:00 IST
1ST TEST,England v India,Nottingham,Wednesday 4 August,15:30 IST
2ND TEST,England v India,London,Thursday 12 August,15:30 IST
3RD TEST,England v India,Leeds,Wednesday 25 August,15:30 IST
4TH TEST,England v India,London,Thursday 2 September,15:30 IST
5TH TEST,England v India,Manchester,Friday 10 September,15:30 IST
